log_text,label
130.105.226.129 USER=guest REQ=GET /home STATUS=200 LATENCY=33ms,NORMAL
12.147.141.65 USER=guest REQ=GET /products STATUS=200 LATENCY=115ms,NORMAL
184.224.83.197 USER=guest REQ=GET /login STATUS=200 LATENCY=27ms,NORMAL
28.152.138.75 USER=guest REQ=GET /products STATUS=200 LATENCY=19ms,NORMAL
115.37.160.224 USER=guest REQ=GET /api/data STATUS=200 LATENCY=69ms,NORMAL
147.114.175.90 USER=guest REQ=GET /login STATUS=200 LATENCY=97ms,NORMAL
16.47.235.155 USER=guest REQ=GET /about STATUS=200 LATENCY=29ms,NORMAL
169.215.34.92 USER=guest REQ=GET /home STATUS=200 LATENCY=73ms,NORMAL
186.242.132.168 USER=guest REQ=GET /contact STATUS=200 LATENCY=103ms,NORMAL
87.123.173.185 USER=guest REQ=GET /checkout STATUS=200 LATENCY=69ms,NORMAL
126.165.239.200 USER=guest REQ=GET /api/data STATUS=200 LATENCY=67ms,NORMAL
107.69.202.32 USER=guest REQ=GET /products STATUS=200 LATENCY=27ms,NORMAL
184.104.41.148 USER=guest REQ=GET /contact STATUS=200 LATENCY=113ms,NORMAL
161.109.224.113 USER=guest REQ=GET /login STATUS=200 LATENCY=82ms,NORMAL
77.80.54.215 USER=guest REQ=GET /checkout STATUS=200 LATENCY=134ms,NORMAL
190.12.59.214 USER=guest REQ=GET /login STATUS=200 LATENCY=56ms,NORMAL
48.57.87.188 USER=guest REQ=GET /api/data STATUS=200 LATENCY=86ms,NORMAL
200.15.55.130 USER=guest REQ=GET /login STATUS=200 LATENCY=88ms,NORMAL
147.37.62.202 USER=guest REQ=GET /checkout STATUS=200 LATENCY=76ms,NORMAL
104.185.215.240 USER=guest REQ=GET /login STATUS=200 LATENCY=99ms,NORMAL
98.8.81.3 USER=guest REQ=GET /about STATUS=200 LATENCY=17ms,NORMAL
192.73.146.151 USER=guest REQ=GET /api/data STATUS=200 LATENCY=55ms,NORMAL
224.163.107.193 USER=guest REQ=GET /api/data STATUS=200 LATENCY=50ms,NORMAL
83.80.135.112 USER=guest REQ=GET /checkout STATUS=200 LATENCY=63ms,NORMAL
60.92.3.91 USER=guest REQ=GET /products STATUS=200 LATENCY=119ms,NORMAL
67.49.66.161 USER=guest REQ=GET /login STATUS=200 LATENCY=37ms,NORMAL
38.138.115.64 USER=guest REQ=GET /api/data STATUS=200 LATENCY=109ms,NORMAL
177.14.221.138 USER=guest REQ=GET /login STATUS=200 LATENCY=130ms,NORMAL
167.58.96.143 USER=guest REQ=GET /checkout STATUS=200 LATENCY=34ms,NORMAL
189.80.15.215 USER=guest REQ=GET /about STATUS=200 LATENCY=18ms,NORMAL
162.208.251.249 USER=guest REQ=GET /home STATUS=200 LATENCY=90ms,NORMAL
79.103.99.146 USER=guest REQ=GET /contact STATUS=200 LATENCY=16ms,NORMAL
61.233.11.37 USER=guest REQ=GET /products STATUS=200 LATENCY=121ms,NORMAL
108.83.131.162 USER=guest REQ=GET /home STATUS=200 LATENCY=76ms,NORMAL
44.203.117.178 USER=guest REQ=GET /login STATUS=200 LATENCY=126ms,NORMAL
157.52.73.2 USER=guest REQ=GET /about STATUS=200 LATENCY=108ms,NORMAL
142.177.182.122 USER=guest REQ=GET /about STATUS=200 LATENCY=39ms,NORMAL
210.168.6.170 USER=guest REQ=GET /products STATUS=200 LATENCY=111ms,NORMAL
78.171.181.160 USER=guest REQ=GET /about STATUS=200 LATENCY=139ms,NORMAL
11.215.74.56 USER=guest REQ=GET /about STATUS=200 LATENCY=99ms,NORMAL
233.29.222.251 USER=guest REQ=GET /login STATUS=200 LATENCY=58ms,NORMAL
216.101.78.186 USER=guest REQ=GET /login STATUS=200 LATENCY=120ms,NORMAL
228.45.112.93 USER=guest REQ=GET /login STATUS=200 LATENCY=147ms,NORMAL
101.95.231.20 USER=guest REQ=GET /contact STATUS=200 LATENCY=120ms,NORMAL
169.41.231.243 USER=guest REQ=GET /home STATUS=200 LATENCY=39ms,NORMAL
229.172.143.138 USER=guest REQ=GET /contact STATUS=200 LATENCY=106ms,NORMAL
206.207.163.122 USER=guest REQ=GET /api/data STATUS=200 LATENCY=15ms,NORMAL
32.38.122.147 USER=guest REQ=GET /products STATUS=200 LATENCY=90ms,NORMAL
123.201.189.214 USER=guest REQ=GET /login STATUS=200 LATENCY=30ms,NORMAL
57.129.39.57 USER=guest REQ=GET /home STATUS=200 LATENCY=79ms,NORMAL
53.133.79.123 USER=guest REQ=GET /about STATUS=200 LATENCY=71ms,NORMAL
223.229.101.23 USER=guest REQ=GET /checkout STATUS=200 LATENCY=24ms,NORMAL
99.56.97.77 USER=guest REQ=GET /home STATUS=200 LATENCY=95ms,NORMAL
26.79.90.150 USER=guest REQ=GET /home STATUS=200 LATENCY=14ms,NORMAL
30.117.198.76 USER=guest REQ=GET /api/data STATUS=200 LATENCY=34ms,NORMAL
211.209.6.175 USER=guest REQ=GET /checkout STATUS=200 LATENCY=40ms,NORMAL
30.89.243.217 USER=guest REQ=GET /api/data STATUS=200 LATENCY=125ms,NORMAL
235.211.126.16 USER=guest REQ=GET /login STATUS=200 LATENCY=101ms,NORMAL
180.134.146.27 USER=guest REQ=GET /about STATUS=200 LATENCY=106ms,NORMAL
225.77.222.116 USER=guest REQ=GET /products STATUS=200 LATENCY=81ms,NORMAL
23.50.244.208 USER=guest REQ=GET /products STATUS=200 LATENCY=117ms,NORMAL
47.84.251.96 USER=guest REQ=GET /checkout STATUS=200 LATENCY=37ms,NORMAL
64.79.113.10 USER=guest REQ=GET /about STATUS=200 LATENCY=67ms,NORMAL
219.35.169.247 USER=guest REQ=GET /about STATUS=200 LATENCY=47ms,NORMAL
152.152.96.130 USER=guest REQ=GET /products STATUS=200 LATENCY=129ms,NORMAL
220.111.216.95 USER=guest REQ=GET /products STATUS=200 LATENCY=134ms,NORMAL
5.179.176.76 USER=guest REQ=GET /home STATUS=200 LATENCY=118ms,NORMAL
186.182.44.245 USER=guest REQ=GET /api/data STATUS=200 LATENCY=135ms,NORMAL
242.22.29.48 USER=guest REQ=GET /contact STATUS=200 LATENCY=36ms,NORMAL
74.9.174.126 USER=guest REQ=GET /about STATUS=200 LATENCY=148ms,NORMAL
58.148.179.127 USER=guest REQ=GET /contact STATUS=200 LATENCY=43ms,NORMAL
74.92.146.97 USER=guest REQ=GET /home STATUS=200 LATENCY=104ms,NORMAL
8.161.120.246 USER=guest REQ=GET /api/data STATUS=200 LATENCY=41ms,NORMAL
156.31.238.124 USER=guest REQ=GET /contact STATUS=200 LATENCY=20ms,NORMAL
105.163.239.213 USER=guest REQ=GET /home STATUS=200 LATENCY=65ms,NORMAL
44.42.161.217 USER=guest REQ=GET /checkout STATUS=200 LATENCY=110ms,NORMAL
101.34.215.74 USER=guest REQ=GET /products STATUS=200 LATENCY=62ms,NORMAL
181.233.123.4 USER=guest REQ=GET /contact STATUS=200 LATENCY=148ms,NORMAL
191.249.14.87 USER=guest REQ=GET /checkout STATUS=200 LATENCY=109ms,NORMAL
202.182.3.32 USER=guest REQ=GET /contact STATUS=200 LATENCY=69ms,NORMAL
36.137.169.248 USER=guest REQ=GET /products STATUS=200 LATENCY=76ms,NORMAL
106.213.15.192 USER=guest REQ=GET /about STATUS=200 LATENCY=48ms,NORMAL
98.61.81.229 USER=guest REQ=GET /about STATUS=200 LATENCY=30ms,NORMAL
222.61.18.75 USER=guest REQ=GET /checkout STATUS=200 LATENCY=43ms,NORMAL
236.113.119.83 USER=guest REQ=GET /contact STATUS=200 LATENCY=77ms,NORMAL
29.182.50.21 USER=guest REQ=GET /login STATUS=200 LATENCY=142ms,NORMAL
37.134.157.84 USER=guest REQ=GET /products STATUS=200 LATENCY=27ms,NORMAL
56.161.148.59 USER=guest REQ=GET /products STATUS=200 LATENCY=79ms,NORMAL
197.118.206.70 USER=guest REQ=GET /home STATUS=200 LATENCY=31ms,NORMAL
7.67.244.47 USER=guest REQ=GET /about STATUS=200 LATENCY=28ms,NORMAL
159.64.113.3 USER=guest REQ=GET /products STATUS=200 LATENCY=74ms,NORMAL
172.137.229.176 USER=guest REQ=GET /api/data STATUS=200 LATENCY=29ms,NORMAL
116.150.165.93 USER=guest REQ=GET /checkout STATUS=200 LATENCY=135ms,NORMAL
230.141.121.115 USER=guest REQ=GET /contact STATUS=200 LATENCY=103ms,NORMAL
121.79.154.187 USER=guest REQ=GET /about STATUS=200 LATENCY=77ms,NORMAL
204.104.217.53 USER=guest REQ=GET /contact STATUS=200 LATENCY=47ms,NORMAL
162.41.126.220 USER=guest REQ=GET /contact STATUS=200 LATENCY=135ms,NORMAL
163.97.147.190 USER=guest REQ=GET /login STATUS=200 LATENCY=65ms,NORMAL
122.43.90.198 USER=guest REQ=GET /api/data STATUS=200 LATENCY=55ms,NORMAL
252.51.242.238 USER=guest REQ=GET /home STATUS=200 LATENCY=33ms,NORMAL
236.247.153.85 USER=guest REQ=GET /products STATUS=200 LATENCY=137ms,NORMAL
64.18.219.43 USER=guest REQ=GET /login STATUS=200 LATENCY=53ms,NORMAL
41.198.157.203 USER=guest REQ=GET /login STATUS=200 LATENCY=144ms,NORMAL
83.70.118.107 USER=guest REQ=GET /api/data STATUS=200 LATENCY=117ms,NORMAL
127.113.126.123 USER=guest REQ=GET /login STATUS=200 LATENCY=46ms,NORMAL
2.249.186.194 USER=guest REQ=GET /contact STATUS=200 LATENCY=48ms,NORMAL
35.9.40.56 USER=guest REQ=GET /checkout STATUS=200 LATENCY=76ms,NORMAL
217.129.230.121 USER=guest REQ=GET /products STATUS=200 LATENCY=150ms,NORMAL
223.240.197.102 USER=guest REQ=GET /products STATUS=200 LATENCY=45ms,NORMAL
234.82.27.145 USER=guest REQ=GET /api/data STATUS=200 LATENCY=14ms,NORMAL
251.20.125.131 USER=guest REQ=GET /contact STATUS=200 LATENCY=114ms,NORMAL
39.68.80.213 USER=guest REQ=GET /contact STATUS=200 LATENCY=68ms,NORMAL
218.171.36.205 USER=guest REQ=GET /login STATUS=200 LATENCY=29ms,NORMAL
230.244.190.3 USER=guest REQ=GET /home STATUS=200 LATENCY=112ms,NORMAL
78.241.96.136 USER=guest REQ=GET /contact STATUS=200 LATENCY=75ms,NORMAL
82.162.227.39 USER=guest REQ=GET /checkout STATUS=200 LATENCY=42ms,NORMAL
81.78.144.246 USER=guest REQ=GET /about STATUS=200 LATENCY=28ms,NORMAL
36.124.251.45 USER=guest REQ=GET /products STATUS=200 LATENCY=79ms,NORMAL
89.141.57.48 USER=guest REQ=GET /checkout STATUS=200 LATENCY=50ms,NORMAL
44.21.32.241 USER=guest REQ=GET /api/data STATUS=200 LATENCY=135ms,NORMAL
67.186.120.16 USER=guest REQ=GET /about STATUS=200 LATENCY=78ms,NORMAL
254.121.33.179 USER=guest REQ=GET /home STATUS=200 LATENCY=121ms,NORMAL
142.129.77.34 USER=guest REQ=GET /checkout STATUS=200 LATENCY=77ms,NORMAL
125.97.153.21 USER=guest REQ=GET /login STATUS=200 LATENCY=92ms,NORMAL
218.46.66.28 USER=guest REQ=GET /login STATUS=200 LATENCY=137ms,NORMAL
194.96.24.130 USER=guest REQ=GET /products STATUS=200 LATENCY=108ms,NORMAL
131.168.135.178 USER=guest REQ=GET /contact STATUS=200 LATENCY=39ms,NORMAL
242.187.244.237 USER=guest REQ=GET /products STATUS=200 LATENCY=87ms,NORMAL
54.79.201.23 USER=guest REQ=GET /products STATUS=200 LATENCY=45ms,NORMAL
74.128.32.60 USER=guest REQ=GET /home STATUS=200 LATENCY=69ms,NORMAL
114.231.32.163 USER=guest REQ=GET /products STATUS=200 LATENCY=15ms,NORMAL
64.211.23.246 USER=guest REQ=GET /home STATUS=200 LATENCY=145ms,NORMAL
150.38.229.213 USER=guest REQ=GET /api/data STATUS=200 LATENCY=110ms,NORMAL
157.113.251.23 USER=guest REQ=GET /api/data STATUS=200 LATENCY=73ms,NORMAL
220.208.92.137 USER=guest REQ=GET /about STATUS=200 LATENCY=83ms,NORMAL
3.205.52.227 USER=guest REQ=GET /checkout STATUS=200 LATENCY=130ms,NORMAL
234.71.216.219 USER=guest REQ=GET /about STATUS=200 LATENCY=46ms,NORMAL
218.219.75.21 USER=guest REQ=GET /about STATUS=200 LATENCY=42ms,NORMAL
94.46.41.185 USER=guest REQ=GET /products STATUS=200 LATENCY=11ms,NORMAL
93.12.106.244 USER=guest REQ=GET /products STATUS=200 LATENCY=64ms,NORMAL
204.101.170.33 USER=guest REQ=GET /home STATUS=200 LATENCY=94ms,NORMAL
8.186.147.111 USER=guest REQ=GET /about STATUS=200 LATENCY=35ms,NORMAL
242.22.41.151 USER=guest REQ=GET /products STATUS=200 LATENCY=99ms,NORMAL
105.197.79.65 USER=guest REQ=GET /api/data STATUS=200 LATENCY=75ms,NORMAL
211.124.104.33 USER=guest REQ=GET /api/data STATUS=200 LATENCY=70ms,NORMAL
219.82.106.90 USER=guest REQ=GET /products STATUS=200 LATENCY=104ms,NORMAL
124.58.79.45 USER=guest REQ=GET /api/data STATUS=200 LATENCY=122ms,NORMAL
55.201.13.110 USER=guest REQ=GET /products STATUS=200 LATENCY=146ms,NORMAL
228.202.204.118 USER=guest REQ=GET /about STATUS=200 LATENCY=11ms,NORMAL
103.120.58.255 USER=guest REQ=GET /about STATUS=200 LATENCY=14ms,NORMAL
76.108.103.116 USER=guest REQ=GET /checkout STATUS=200 LATENCY=134ms,NORMAL
174.123.203.252 USER=guest REQ=GET /home STATUS=200 LATENCY=22ms,NORMAL
225.127.7.40 USER=guest REQ=GET /home STATUS=200 LATENCY=60ms,NORMAL
105.67.239.138 USER=guest REQ=GET /contact STATUS=200 LATENCY=54ms,NORMAL
188.115.112.85 USER=guest REQ=GET /login STATUS=200 LATENCY=142ms,NORMAL
216.15.119.54 USER=guest REQ=GET /home STATUS=200 LATENCY=146ms,NORMAL
35.124.162.136 USER=guest REQ=GET /home STATUS=200 LATENCY=53ms,NORMAL
11.237.218.225 USER=guest REQ=GET /contact STATUS=200 LATENCY=84ms,NORMAL
136.223.73.7 USER=guest REQ=GET /checkout STATUS=200 LATENCY=20ms,NORMAL
233.66.189.213 USER=guest REQ=GET /contact STATUS=200 LATENCY=35ms,NORMAL
108.180.146.157 USER=guest REQ=GET /home STATUS=200 LATENCY=110ms,NORMAL
131.131.114.66 USER=guest REQ=GET /login STATUS=200 LATENCY=16ms,NORMAL
74.85.155.235 USER=guest REQ=GET /checkout STATUS=200 LATENCY=134ms,NORMAL
165.227.139.45 USER=guest REQ=GET /products STATUS=200 LATENCY=140ms,NORMAL
225.194.211.7 USER=guest REQ=GET /products STATUS=200 LATENCY=29ms,NORMAL
26.54.165.99 USER=guest REQ=GET /home STATUS=200 LATENCY=109ms,NORMAL
133.244.161.190 USER=guest REQ=GET /about STATUS=200 LATENCY=134ms,NORMAL
184.136.172.211 USER=guest REQ=GET /login STATUS=200 LATENCY=126ms,NORMAL
238.113.126.164 USER=guest REQ=GET /products STATUS=200 LATENCY=126ms,NORMAL
245.175.47.69 USER=guest REQ=GET /checkout STATUS=200 LATENCY=125ms,NORMAL
158.86.49.91 USER=guest REQ=GET /contact STATUS=200 LATENCY=16ms,NORMAL
10.238.253.248 USER=guest REQ=GET /api/data STATUS=200 LATENCY=90ms,NORMAL
121.135.102.137 USER=guest REQ=GET /contact STATUS=200 LATENCY=81ms,NORMAL
172.199.209.183 USER=guest REQ=GET /api/data STATUS=200 LATENCY=67ms,NORMAL
98.208.160.136 USER=guest REQ=GET /about STATUS=200 LATENCY=70ms,NORMAL
213.59.173.9 USER=guest REQ=GET /home STATUS=200 LATENCY=88ms,NORMAL
200.137.96.9 USER=guest REQ=GET /about STATUS=200 LATENCY=37ms,NORMAL
170.122.62.140 USER=guest REQ=GET /api/data STATUS=200 LATENCY=18ms,NORMAL
56.136.135.16 USER=guest REQ=GET /checkout STATUS=200 LATENCY=71ms,NORMAL
162.82.241.159 USER=guest REQ=GET /contact STATUS=200 LATENCY=45ms,NORMAL
60.63.35.9 USER=guest REQ=GET /login STATUS=200 LATENCY=36ms,NORMAL
111.50.223.173 USER=guest REQ=GET /api/data STATUS=200 LATENCY=138ms,NORMAL
159.49.137.83 USER=guest REQ=GET /checkout STATUS=200 LATENCY=76ms,NORMAL
170.197.137.245 USER=guest REQ=GET /login STATUS=200 LATENCY=123ms,NORMAL
22.230.13.49 USER=guest REQ=GET /contact STATUS=200 LATENCY=124ms,NORMAL
127.60.183.121 USER=guest REQ=GET /login STATUS=200 LATENCY=25ms,NORMAL
190.53.210.181 USER=guest REQ=GET /about STATUS=200 LATENCY=15ms,NORMAL
14.146.222.232 USER=guest REQ=GET /checkout STATUS=200 LATENCY=95ms,NORMAL
230.77.167.140 USER=guest REQ=GET /api/data STATUS=200 LATENCY=99ms,NORMAL
35.92.13.29 USER=guest REQ=GET /checkout STATUS=200 LATENCY=109ms,NORMAL
155.18.51.139 USER=guest REQ=GET /login STATUS=200 LATENCY=19ms,NORMAL
29.38.21.195 USER=guest REQ=GET /checkout STATUS=200 LATENCY=131ms,NORMAL
71.239.179.139 USER=guest REQ=GET /contact STATUS=200 LATENCY=131ms,NORMAL
173.143.168.231 USER=guest REQ=GET /checkout STATUS=200 LATENCY=36ms,NORMAL
248.137.50.51 USER=guest REQ=GET /login STATUS=200 LATENCY=140ms,NORMAL
110.118.248.128 USER=guest REQ=GET /login STATUS=200 LATENCY=146ms,NORMAL
21.239.20.21 USER=guest REQ=GET /api/data STATUS=200 LATENCY=110ms,NORMAL
87.150.164.88 USER=guest REQ=GET /products STATUS=200 LATENCY=79ms,NORMAL
165.49.237.129 USER=guest REQ=GET /home STATUS=200 LATENCY=86ms,NORMAL
226.101.195.177 USER=guest REQ=GET /checkout STATUS=200 LATENCY=137ms,NORMAL
115.100.31.109 USER=guest REQ=GET /checkout STATUS=200 LATENCY=125ms,NORMAL
252.142.206.92 USER=guest REQ=GET /login STATUS=200 LATENCY=124ms,NORMAL
153.90.93.127 USER=guest REQ=GET /contact STATUS=200 LATENCY=49ms,NORMAL
24.101.216.205 USER=guest REQ=GET /checkout STATUS=200 LATENCY=132ms,NORMAL
146.15.125.220 USER=guest REQ=GET /about STATUS=200 LATENCY=48ms,NORMAL
47.190.54.4 USER=guest REQ=GET /about STATUS=200 LATENCY=101ms,NORMAL
152.5.23.181 USER=guest REQ=GET /login STATUS=200 LATENCY=113ms,NORMAL
118.125.116.59 USER=guest REQ=GET /about STATUS=200 LATENCY=119ms,NORMAL
248.243.48.160 USER=guest REQ=GET /checkout STATUS=200 LATENCY=13ms,NORMAL
186.222.202.143 USER=guest REQ=GET /home STATUS=200 LATENCY=105ms,NORMAL
63.25.156.12 USER=guest REQ=GET /api/data STATUS=200 LATENCY=30ms,NORMAL
246.202.72.130 USER=guest REQ=GET /api/data STATUS=200 LATENCY=12ms,NORMAL
229.203.192.76 USER=guest REQ=GET /contact STATUS=200 LATENCY=119ms,NORMAL
218.154.122.230 USER=guest REQ=GET /login STATUS=200 LATENCY=77ms,NORMAL
13.40.89.52 USER=guest REQ=GET /login STATUS=200 LATENCY=30ms,NORMAL
19.116.156.252 USER=guest REQ=GET /home STATUS=200 LATENCY=100ms,NORMAL
146.55.217.229 USER=guest REQ=GET /checkout STATUS=200 LATENCY=120ms,NORMAL
83.7.140.183 USER=guest REQ=GET /contact STATUS=200 LATENCY=137ms,NORMAL
50.213.125.21 USER=guest REQ=GET /products STATUS=200 LATENCY=135ms,NORMAL
165.165.81.17 USER=guest REQ=GET /login STATUS=200 LATENCY=47ms,NORMAL
235.228.233.206 USER=guest REQ=GET /api/data STATUS=200 LATENCY=59ms,NORMAL
104.119.162.185 USER=guest REQ=GET /login STATUS=200 LATENCY=142ms,NORMAL
125.186.181.228 USER=guest REQ=GET /checkout STATUS=200 LATENCY=57ms,NORMAL
207.36.58.159 USER=guest REQ=GET /products STATUS=200 LATENCY=72ms,NORMAL
187.219.91.181 USER=guest REQ=GET /about STATUS=200 LATENCY=124ms,NORMAL
51.45.13.207 USER=guest REQ=GET /api/data STATUS=200 LATENCY=72ms,NORMAL
92.95.120.48 USER=guest REQ=GET /checkout STATUS=200 LATENCY=20ms,NORMAL
59.207.255.217 USER=guest REQ=GET /home STATUS=200 LATENCY=49ms,NORMAL
118.100.230.102 USER=guest REQ=GET /api/data STATUS=200 LATENCY=23ms,NORMAL
227.31.231.31 USER=guest REQ=GET /login STATUS=200 LATENCY=121ms,NORMAL
160.125.42.106 USER=guest REQ=GET /checkout STATUS=200 LATENCY=86ms,NORMAL
215.82.128.123 USER=guest REQ=GET /api/data STATUS=200 LATENCY=113ms,NORMAL
101.103.110.82 USER=guest REQ=GET /login STATUS=200 LATENCY=58ms,NORMAL
66.77.132.66 USER=guest REQ=GET /about STATUS=200 LATENCY=91ms,NORMAL
231.254.95.21 USER=guest REQ=GET /products STATUS=200 LATENCY=149ms,NORMAL
67.107.122.236 USER=guest REQ=GET /login STATUS=200 LATENCY=109ms,NORMAL
94.84.242.245 USER=guest REQ=GET /home STATUS=200 LATENCY=71ms,NORMAL
117.38.18.24 USER=guest REQ=GET /checkout STATUS=200 LATENCY=146ms,NORMAL
9.180.70.202 USER=guest REQ=GET /products STATUS=200 LATENCY=64ms,NORMAL
143.242.3.13 USER=guest REQ=GET /home STATUS=200 LATENCY=104ms,NORMAL
176.145.167.170 USER=guest REQ=GET /home STATUS=200 LATENCY=17ms,NORMAL
190.203.50.231 USER=guest REQ=GET /checkout STATUS=200 LATENCY=138ms,NORMAL
156.171.165.218 USER=guest REQ=GET /products STATUS=200 LATENCY=80ms,NORMAL
163.70.144.192 USER=guest REQ=GET /contact STATUS=200 LATENCY=96ms,NORMAL
228.89.24.34 USER=guest REQ=GET /about STATUS=200 LATENCY=88ms,NORMAL
231.86.236.99 USER=guest REQ=GET /api/data STATUS=200 LATENCY=46ms,NORMAL
156.220.193.170 USER=guest REQ=GET /checkout STATUS=200 LATENCY=139ms,NORMAL
89.105.48.141 USER=guest REQ=GET /contact STATUS=200 LATENCY=130ms,NORMAL
40.110.125.7 USER=guest REQ=GET /login STATUS=200 LATENCY=61ms,NORMAL
183.176.239.126 USER=guest REQ=GET /login STATUS=200 LATENCY=62ms,NORMAL
228.127.169.137 USER=guest REQ=GET /checkout STATUS=200 LATENCY=88ms,NORMAL
207.126.146.67 USER=guest REQ=GET /api/data STATUS=200 LATENCY=27ms,NORMAL
59.229.47.215 USER=guest REQ=GET /api/data STATUS=200 LATENCY=81ms,NORMAL
139.82.243.127 USER=guest REQ=GET /login STATUS=200 LATENCY=74ms,NORMAL
65.34.250.99 USER=guest REQ=GET /home STATUS=200 LATENCY=116ms,NORMAL
194.99.68.118 USER=guest REQ=GET /api/data STATUS=200 LATENCY=24ms,NORMAL
219.215.230.24 USER=guest REQ=GET /login STATUS=200 LATENCY=86ms,NORMAL
68.143.17.103 USER=guest REQ=GET /products STATUS=200 LATENCY=135ms,NORMAL
113.157.97.50 USER=guest REQ=GET /contact STATUS=200 LATENCY=76ms,NORMAL
206.190.51.34 USER=guest REQ=GET /home STATUS=200 LATENCY=65ms,NORMAL
126.20.22.145 USER=guest REQ=GET /checkout STATUS=200 LATENCY=41ms,NORMAL
153.209.27.99 USER=guest REQ=GET /products STATUS=200 LATENCY=103ms,NORMAL
103.176.142.118 USER=guest REQ=GET /api/data STATUS=200 LATENCY=110ms,NORMAL
72.113.126.116 USER=guest REQ=GET /contact STATUS=200 LATENCY=16ms,NORMAL
167.25.228.195 USER=guest REQ=GET /contact STATUS=200 LATENCY=44ms,NORMAL
66.232.169.183 USER=guest REQ=GET /checkout STATUS=200 LATENCY=94ms,NORMAL
131.253.228.116 USER=guest REQ=GET /home STATUS=200 LATENCY=47ms,NORMAL
77.42.157.12 USER=guest REQ=GET /login STATUS=200 LATENCY=148ms,NORMAL
22.149.202.118 USER=guest REQ=GET /products STATUS=200 LATENCY=63ms,NORMAL
22.125.146.1 USER=guest REQ=GET /checkout STATUS=200 LATENCY=104ms,NORMAL
117.85.46.28 USER=guest REQ=GET /contact STATUS=200 LATENCY=86ms,NORMAL
215.123.202.34 USER=guest REQ=GET /about STATUS=200 LATENCY=50ms,NORMAL
227.106.131.4 USER=guest REQ=GET /checkout STATUS=200 LATENCY=72ms,NORMAL
209.106.177.165 USER=guest REQ=GET /home STATUS=200 LATENCY=50ms,NORMAL
132.18.73.27 USER=guest REQ=GET /checkout STATUS=200 LATENCY=11ms,NORMAL
17.175.31.110 USER=guest REQ=GET /contact STATUS=200 LATENCY=27ms,NORMAL
145.154.106.140 USER=guest REQ=GET /api/data STATUS=200 LATENCY=104ms,NORMAL
141.150.187.198 USER=guest REQ=GET /api/data STATUS=200 LATENCY=15ms,NORMAL
113.183.55.27 USER=guest REQ=GET /products STATUS=200 LATENCY=54ms,NORMAL
48.98.94.148 USER=guest REQ=GET /products STATUS=200 LATENCY=136ms,NORMAL
117.188.250.197 USER=guest REQ=GET /checkout STATUS=200 LATENCY=129ms,NORMAL
185.178.11.115 USER=guest REQ=GET /products STATUS=200 LATENCY=132ms,NORMAL
70.191.160.231 USER=guest REQ=GET /api/data STATUS=200 LATENCY=49ms,NORMAL
